School,e1,e2,e3,e4,e5,e6,e7,e8,Attendance,All 7 Conferences
Stowe High School,,,,,x,x,x,,3,
Stuyvesant High School,,,,,x,,,,1,
The Bromfield School,,,,x,,,,,1,
The Master's School,x,x,,,,,,,2,
The Wheatley School,,,,,,,,,0,
Trumbull High School,,,,x,,,x,,2,
Ursuline Academy,,,,,x,,,,1,
Villa Sainte Marcelline,,,,,x,,,,1,
Wachusett Regional HS,x,x,x,x,x,,,,5,
Walton High School,,,,,,,x,,1,
Watertown High School,,,,,,,x,,1,
Webber Academy Calgary Canada*,x,x,,,,,,,2,
Wellesley High School,,,,x,,,,,1,
Weston High School,x,x,,x,,,,,3,
Westwood High School,,,,x,,x,,,2,
Weymouth High School,,,,,,,x,,1,
Woodstock Academy,,,x,x,,,,,2,
Xaverian Brothers High School,,,,,,,x,,1,
Xavier High School,x,x,x,x,x,,x,,6,
Yarmouth High School,x,x,x,,x,x,x,,6,
